ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global"
2251,variable,"მწვანე სადა ქუდი",,"მწვანე სადა ქუდი",1,0,visible,"• ქსოვილი: 100% ნატურალური თუშური შალი\n• სარჩული: 100% ბამბით ნაქსოვი, შუბლის გარშემო\n• ნამდვილი ბებიების ხელით მოქსოვილი\n• დამზადებულია საქართველოში\n• შეფუთვა: ბრენდირებული კრაფტის ქაღალდი და კრაფტის ჩანთა","ზომის დასადგენად იხელმძღვანელეთ ქვემოთ მოცემული ცხრილით:\n\n\n\n<table width=""375"">\n\n\n\n<tbody>\n\n\n\n<tr>\n\n\n\n<td width=""64"">ზომა</td>\n\n\n\n<td width=""210"">თავის გარშემოწერილობა</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> L</td>\n\n\n\n<td width=""210"">62-65 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> M</td>\n\n\n\n<td width=""210"">58-61 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> S</td>\n\n\n\n<td width=""210"">54-57 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64"">XS</td>\n\n\n\n<td width=""210"">50-53 სმ</td>\n\n\n\n</tr>\n\n\n\n</tbody>\n\n\n\n</table>\n\n\n\n✓ შეძენამდე გაეცანით <a href=""https://bebias.ge/payment-and-delivery/"">მიწოდების პირობებსა და ტარიფებს.</a>\n\n\n\n\n\n\n\n✓ რეცხვის ინსტრუქცია იხილეთ <a href=""https://bebias.ge/faq/"">ხშირად დასმულ კითხვებში.</a>\n\n\n&nbsp;\n\n<strong>ტრადიციით შექმნილი, სიყვარულით შესრულებული</strong>\n\n“ბებიას” ყოველი ნახელავი სითბოს, ოსტატობისა და სოციალური გავლენის ისტორიას ყვება. ქართული, ბებიების მიერ ხელით ნაქსოვი თითოეული პროდუქტი უნიკალურია და გამოხატავს თაობიდან თაობაზე გადაცემულ უნარებს. ჩვენი პროდუქტები მხოლოდ აქსესუარები არაა — ეს სიმბოლოებია სიყვარულის, ზრუნვისა და მდგრადობის.\n\n<strong>100% ნატურალური მასალები, 100% დაცვა და კომფორტი</strong>\n\nჩვენი ნახელავები დამზადებულია 100% ნატურალური და ორგანული სუფთა, შეურეველი მასალებისგან, რაც უზრუნველყოფს არაჩვეულებრივ კომფორტს, სირბილეს და სკალპის სუნთქვადობას. ვიყენებთ ქართულ ნატურალურ თბილ შალს თუშეთის მთებიდან, ასევე პრემიუმ ხარისხის ნატურალურ რბილ შალს და ნატურალურ ანტიალერგიულ ბამბას, რათა თითოეული ნივთი იყოს ეკო-მეგობრული, რბილი და იდეალური ყველა სეზონისთვის, ყინვასა თუ ნაკლებად ცივ ამინდში.\n\n<strong>მდგრადობა და სოციალური გავლენა</strong>\n\nროდესაც „ბებიას“ პროდუქტებს ყიდულობთ, მხარს უჭერთ უფრო მდგრად მომავალს. ჩვენი 100% ნატურალური მასალები ეთიკურად არის მოპოვებული და ჩვენი წარმოების პროცესი პრიორიტეტს ანიჭებს გარემოს დაცვას. ბუნებრივი ნახელავების ფერები მიღებულია მცენარეებიდან, ხელით ღებვის ოსტატობით. თუმცა ეს ყველაფერი მხოლოდ პლანეტას არ ეხება — ეს ადამიანებზეა. ყოველი შენაძენი ეხმარება ჩვენი ბებიების ყოფას, აძლევს მათ დამატებით შემოსავალსა და ცხოვრების ხალისს. ",,,taxable,,0,0,,0,0,,,,,0,,,,"ქუდები > სადა ქუდები","ბებიას, მწვანე ქუდი, ნაქსოვი ქუდი, სადა ქუდი, ქუდი, შალის ქუდი",,"https://bebias.ge/wp-content/uploads/მწვანე-ქუდი.jpg, https://bebias.ge/wp-content/uploads/შეფუთვა.png",,,,,,,,,0,ბებიას,ზომა,"L, M, S, XS, XXS, XXXS",1,0,ფერი,მწვანე,1,1,სარჩული,"შუბლის გარშემო",0,1,მატერია,"თუშური შალი",1,1
2258,variable,"მუქი ყავისფერი სადა ქუდი",,"მუქი ყავისფერი სადა ქუდი",1,0,visible,"• ქსოვილი: 100% ნატურალური თუშური შალი\n• სარჩული: 100% ბამბით ნაქსოვი, შუბლის გარშემო\n• ნამდვილი ბებიების ხელით მოქსოვილი\n• დამზადებულია საქართველოში\n• შეფუთვა: ბრენდირებული კრაფტის ქაღალდი და კრაფტის ჩანთა","ზომის დასადგენად იხელმძღვანელეთ ქვემოთ მოცემული ცხრილით:\n\n\n\n<table width=""375"">\n\n\n\n<tbody>\n\n\n\n<tr>\n\n\n\n<td width=""64"">ზომა</td>\n\n\n\n<td width=""210"">თავის გარშემოწერილობა</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> L</td>\n\n\n\n<td width=""210"">62-65 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> M</td>\n\n\n\n<td width=""210"">58-61 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> S</td>\n\n\n\n<td width=""210"">54-57 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64"">XS</td>\n\n\n\n<td width=""210"">50-53 სმ</td>\n\n\n\n</tr>\n\n\n\n</tbody>\n\n\n\n</table>\n\n\n\n✓ შეძენამდე გაეცანით <a href=""https://bebias.ge/payment-and-delivery/"">მიწოდების პირობებსა და ტარიფებს.</a>\n\n\n\n\n\n\n\n✓ რეცხვის ინსტრუქცია იხილეთ <a href=""https://bebias.ge/faq/"">ხშირად დასმულ კითხვებში.</a>\n\n\n&nbsp;\n\n<strong>ტრადიციით შექმნილი, სიყვარულით შესრულებული</strong>\n\n“ბებიას” ყოველი ნახელავი სითბოს, ოსტატობისა და სოციალური გავლენის ისტორიას ყვება. ქართული, ბებიების მიერ ხელით ნაქსოვი თითოეული პროდუქტი უნიკალურია და გამოხატავს თაობიდან თაობაზე გადაცემულ უნარებს. ჩვენი პროდუქტები მხოლოდ აქსესუარები არაა — ეს სიმბოლოებია სიყვარულის, ზრუნვისა და მდგრადობის.\n\n<strong>100% ნატურალური მასალები, 100% დაცვა და კომფორტი</strong>\n\nჩვენი ნახელავები დამზადებულია 100% ნატურალური და ორგანული სუფთა, შეურეველი მასალებისგან, რაც უზრუნველყოფს არაჩვეულებრივ კომფორტს, სირბილეს და სკალპის სუნთქვადობას. ვიყენებთ ქართულ ნატურალურ თბილ შალს თუშეთის მთებიდან, ასევე პრემიუმ ხარისხის ნატურალურ რბილ შალს და ნატურალურ ანტიალერგიულ ბამბას, რათა თითოეული ნივთი იყოს ეკო-მეგობრული, რბილი და იდეალური ყველა სეზონისთვის, ყინვასა თუ ნაკლებად ცივ ამინდში.\n\n<strong>მდგრადობა და სოციალური გავლენა</strong>\n\nროდესაც „ბებიას“ პროდუქტებს ყიდულობთ, მხარს უჭერთ უფრო მდგრად მომავალს. ჩვენი 100% ნატურალური მასალები ეთიკურად არის მოპოვებული და ჩვენი წარმოების პროცესი პრიორიტეტს ანიჭებს გარემოს დაცვას. ბუნებრივი ნახელავების ფერები მიღებულია მცენარეებიდან, ხელით ღებვის ოსტატობით. თუმცა ეს ყველაფერი მხოლოდ პლანეტას არ ეხება — ეს ადამიანებზეა. ყოველი შენაძენი ეხმარება ჩვენი ბებიების ყოფას, აძლევს მათ დამატებით შემოსავალსა და ცხოვრების ხალისს. ",,,taxable,,0,0,,0,0,,,,,0,,,,"ქუდები > სადა ქუდები","ბებიას, ნაქსოვი ქუდი, სადა ქუდი, ქუდი, ყავისფერი ქუდი, შალის ქუდი",,"https://bebias.ge/wp-content/uploads/მუქი-ყავისფერი-ქუდი.jpg, https://bebias.ge/wp-content/uploads/შეფუთვა.png",,,,,,,,,0,ბებიას,ზომა,"L, M, S, XS",1,0,ფერი,ყავისფერი,1,1,სარჩული,"შუბლის გარშემო",0,1,მატერია,"თუშური შალი",1,1
2265,variable,"მუქი ლურჯი სადა ქუდი",,"მუქი ლურჯი სადა ქუდი",1,0,visible,"• ქსოვილი: 100% ნატურალური თუშური შალი\n• სარჩული: 100% ბამბით ნაქსოვი, შუბლის გარშემო\n• ნამდვილი ბებიების ხელით მოქსოვილი\n• დამზადებულია საქართველოში\n• შეფუთვა: ბრენდირებული კრაფტის ქაღალდი და კრაფტის ჩანთა","ზომის დასადგენად იხელმძღვანელეთ ქვემოთ მოცემული ცხრილით:\n\n\n\n<table width=""375"">\n\n\n\n<tbody>\n\n\n\n<tr>\n\n\n\n<td width=""64"">ზომა</td>\n\n\n\n<td width=""210"">თავის გარშემოწერილობა</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> L</td>\n\n\n\n<td width=""210"">62-65 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> M</td>\n\n\n\n<td width=""210"">58-61 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> S</td>\n\n\n\n<td width=""210"">54-57 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64"">XS</td>\n\n\n\n<td width=""210"">50-53 სმ</td>\n\n\n\n</tr>\n\n\n\n</tbody>\n\n\n\n</table>\n\n\n\n✓ შეძენამდე გაეცანით <a href=""https://bebias.ge/payment-and-delivery/"">მიწოდების პირობებსა და ტარიფებს.</a>\n\n\n\n\n\n\n\n✓ რეცხვის ინსტრუქცია იხილეთ <a href=""https://bebias.ge/faq/"">ხშირად დასმულ კითხვებში.</a>\n\n\n&nbsp;\n\n<strong>ტრადიციით შექმნილი, სიყვარულით შესრულებული</strong>\n\n“ბებიას” ყოველი ნახელავი სითბოს, ოსტატობისა და სოციალური გავლენის ისტორიას ყვება. ქართული, ბებიების მიერ ხელით ნაქსოვი თითოეული პროდუქტი უნიკალურია და გამოხატავს თაობიდან თაობაზე გადაცემულ უნარებს. ჩვენი პროდუქტები მხოლოდ აქსესუარები არაა — ეს სიმბოლოებია სიყვარულის, ზრუნვისა და მდგრადობის.\n\n<strong>100% ნატურალური მასალები, 100% დაცვა და კომფორტი</strong>\n\nჩვენი ნახელავები დამზადებულია 100% ნატურალური და ორგანული სუფთა, შეურეველი მასალებისგან, რაც უზრუნველყოფს არაჩვეულებრივ კომფორტს, სირბილეს და სკალპის სუნთქვადობას. ვიყენებთ ქართულ ნატურალურ თბილ შალს თუშეთის მთებიდან, ასევე პრემიუმ ხარისხის ნატურალურ რბილ შალს და ნატურალურ ანტიალერგიულ ბამბას, რათა თითოეული ნივთი იყოს ეკო-მეგობრული, რბილი და იდეალური ყველა სეზონისთვის, ყინვასა თუ ნაკლებად ცივ ამინდში.\n\n<strong>მდგრადობა და სოციალური გავლენა</strong>\n\nროდესაც „ბებიას“ პროდუქტებს ყიდულობთ, მხარს უჭერთ უფრო მდგრად მომავალს. ჩვენი 100% ნატურალური მასალები ეთიკურად არის მოპოვებული და ჩვენი წარმოების პროცესი პრიორიტეტს ანიჭებს გარემოს დაცვას. ბუნებრივი ნახელავების ფერები მიღებულია მცენარეებიდან, ხელით ღებვის ოსტატობით. თუმცა ეს ყველაფერი მხოლოდ პლანეტას არ ეხება — ეს ადამიანებზეა. ყოველი შენაძენი ეხმარება ჩვენი ბებიების ყოფას, აძლევს მათ დამატებით შემოსავალსა და ცხოვრების ხალისს. ",,,taxable,,0,0,,0,0,,,,,0,,,,"ქუდები > სადა ქუდები","ბებიას, ლურჯი ქუდი, ნაქსოვი ქუდი, სადა ქუდი, ქუდი, შალის ქუდი",,"https://bebias.ge/wp-content/uploads/მუქი-ლურჯი-ქუდი.jpg, https://bebias.ge/wp-content/uploads/შეფუთვა.png",,,,,,,,,0,ბებიას,ზომა,"L, M, S, XS, XXS, XXXS",1,0,ფერი,ლურჯი,1,1,სარჩული,"შუბლის გარშემო",0,1,მატერია,"თუშური შალი",1,1
2272,variable,"თეთრი შეუღებავი შალის სადა ქუდი",,"თეთრი შეუღებავი შალის სადა ქუდი",1,1,visible,"• ქსოვილი: 100% ნატურალური თუშური შალი\n• სარჩული: 100% ბამბით ნაქსოვი, შუბლის გარშემო\n• ფერი: ბუნებრივი, საღებავების გარეშე\n• ნამდვილი ბებიების ხელით მოქსოვილი\n• დამზადებულია საქართველოში\n• შეფუთვა: ბრენდირებული კრაფტის ქაღალდი და კრაფტის ჩანთა","ზომის დასადგენად იხელმძღვანელეთ ქვემოთ მოცემული ცხრილით:\n\n\n\n<table width=""375"">\n\n\n\n<tbody>\n\n\n\n<tr>\n\n\n\n<td width=""64"">ზომა</td>\n\n\n\n<td width=""210"">თავის გარშემოწერილობა</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> L</td>\n\n\n\n<td width=""210"">62-65 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> M</td>\n\n\n\n<td width=""210"">58-61 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> S</td>\n\n\n\n<td width=""210"">54-57 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64"">XS</td>\n\n\n\n<td width=""210"">50-53 სმ</td>\n\n\n\n</tr>\n\n\n\n</tbody>\n\n\n\n</table>\n\n\n\n✓ შეძენამდე გაეცანით <a href=""https://bebias.ge/payment-and-delivery/"">მიწოდების პირობებსა და ტარიფებს.</a>\n\n\n\n\n\n\n\n✓ რეცხვის ინსტრუქცია იხილეთ <a href=""https://bebias.ge/faq/"">ხშირად დასმულ კითხვებში.</a>\n\n\n&nbsp;\n\n<strong>ტრადიციით შექმნილი, სიყვარულით შესრულებული</strong>\n\n“ბებიას” ყოველი ნახელავი სითბოს, ოსტატობისა და სოციალური გავლენის ისტორიას ყვება. ქართული, ბებიების მიერ ხელით ნაქსოვი თითოეული პროდუქტი უნიკალურია და გამოხატავს თაობიდან თაობაზე გადაცემულ უნარებს. ჩვენი პროდუქტები მხოლოდ აქსესუარები არაა — ეს სიმბოლოებია სიყვარულის, ზრუნვისა და მდგრადობის.\n\n<strong>100% ნატურალური მასალები, 100% დაცვა და კომფორტი</strong>\n\nჩვენი ნახელავები დამზადებულია 100% ნატურალური და ორგანული სუფთა, შეურეველი მასალებისგან, რაც უზრუნველყოფს არაჩვეულებრივ კომფორტს, სირბილეს და სკალპის სუნთქვადობას. ვიყენებთ ქართულ ნატურალურ თბილ შალს თუშეთის მთებიდან, ასევე პრემიუმ ხარისხის ნატურალურ რბილ შალს და ნატურალურ ანტიალერგიულ ბამბას, რათა თითოეული ნივთი იყოს ეკო-მეგობრული, რბილი და იდეალური ყველა სეზონისთვის, ყინვასა თუ ნაკლებად ცივ ამინდში.\n\n<strong>მდგრადობა და სოციალური გავლენა</strong>\n\nროდესაც „ბებიას“ პროდუქტებს ყიდულობთ, მხარს უჭერთ უფრო მდგრად მომავალს. ჩვენი 100% ნატურალური მასალები ეთიკურად არის მოპოვებული და ჩვენი წარმოების პროცესი პრიორიტეტს ანიჭებს გარემოს დაცვას. ბუნებრივი ნახელავების ფერები მიღებულია მცენარეებიდან, ხელით ღებვის ოსტატობით. თუმცა ეს ყველაფერი მხოლოდ პლანეტას არ ეხება — ეს ადამიანებზეა. ყოველი შენაძენი ეხმარება ჩვენი ბებიების ყოფას, აძლევს მათ დამატებით შემოსავალსა და ცხოვრების ხალისს. ",,,taxable,,1,4,,0,0,,,,,0,,,,"ქუდები > ბუნებრივი ფერის ქუდები, ქუდები > სადა ქუდები","ბებიას, თეთრი ქუდი, ნაქსოვი ქუდი, სადა ქუდი, ქუდი, შალის ქუდი, შეუღებავი ქუდი",,"https://bebias.ge/wp-content/uploads/კრემისფერი-ქუდი.jpg, https://bebias.ge/wp-content/uploads/IMG_5140-2.jpg, https://bebias.ge/wp-content/uploads/შეფუთვა.png",,,,,,,,,0,ბებიას,ზომა,"L, M, S, XS",1,0,ფერი,თეთრი,1,1,სარჩული,"შუბლის გარშემო",0,1,მატერია,"თუშური შალი",1,1
2286,variable,"ყავისფერი ქუდი პომპონით",,"ყავისფერი ქუდი პომპონით",1,0,visible,"• ქსოვილი: 100% ნატურალური თუშური შალი\n• სარჩული: 100% ბამბით ნაქსოვი, შუბლის გარშემო\n• ნამდვილი ბებიების ხელით მოქსოვილი\n• დამზადებულია საქართველოში\n• შეფუთვა: ბრენდირებული კრაფტის ქაღალდი და კრაფტის ჩანთა","ზომის დასადგენად იხელმძღვანელეთ ქვემოთ მოცემული ცხრილით:\n\n\n\n<table width=""375"">\n\n\n\n<tbody>\n\n\n\n<tr>\n\n\n\n<td width=""64"">ზომა</td>\n\n\n\n<td width=""210"">თავის გარშემოწერილობა</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> L</td>\n\n\n\n<td width=""210"">62-65 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> M</td>\n\n\n\n<td width=""210"">58-61 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> S</td>\n\n\n\n<td width=""210"">54-57 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64"">XS</td>\n\n\n\n<td width=""210"">50-53 სმ</td>\n\n\n\n</tr>\n\n\n\n</tbody>\n\n\n\n</table>\n\n\n\n✓ შეძენამდე გაეცანით <a href=""https://bebias.ge/payment-and-delivery/"">მიწოდების პირობებსა და ტარიფებს.</a>\n\n\n\n\n\n\n\n✓ რეცხვის ინსტრუქცია იხილეთ <a href=""https://bebias.ge/faq/"">ხშირად დასმულ კითხვებში.</a>\n\n\n&nbsp;\n\n<strong>ტრადიციით შექმნილი, სიყვარულით შესრულებული</strong>\n\n“ბებიას” ყოველი ნახელავი სითბოს, ოსტატობისა და სოციალური გავლენის ისტორიას ყვება. ქართული, ბებიების მიერ ხელით ნაქსოვი თითოეული პროდუქტი უნიკალურია და გამოხატავს თაობიდან თაობაზე გადაცემულ უნარებს. ჩვენი პროდუქტები მხოლოდ აქსესუარები არაა — ეს სიმბოლოებია სიყვარულის, ზრუნვისა და მდგრადობის.\n\n<strong>100% ნატურალური მასალები, 100% დაცვა და კომფორტი</strong>\n\nჩვენი ნახელავები დამზადებულია 100% ნატურალური და ორგანული სუფთა, შეურეველი მასალებისგან, რაც უზრუნველყოფს არაჩვეულებრივ კომფორტს, სირბილეს და სკალპის სუნთქვადობას. ვიყენებთ ქართულ ნატურალურ თბილ შალს თუშეთის მთებიდან, ასევე პრემიუმ ხარისხის ნატურალურ რბილ შალს და ნატურალურ ანტიალერგიულ ბამბას, რათა თითოეული ნივთი იყოს ეკო-მეგობრული, რბილი და იდეალური ყველა სეზონისთვის, ყინვასა თუ ნაკლებად ცივ ამინდში.\n\n<strong>მდგრადობა და სოციალური გავლენა</strong>\n\nროდესაც „ბებიას“ პროდუქტებს ყიდულობთ, მხარს უჭერთ უფრო მდგრად მომავალს. ჩვენი 100% ნატურალური მასალები ეთიკურად არის მოპოვებული და ჩვენი წარმოების პროცესი პრიორიტეტს ანიჭებს გარემოს დაცვას. ბუნებრივი ნახელავების ფერები მიღებულია მცენარეებიდან, ხელით ღებვის ოსტატობით. თუმცა ეს ყველაფერი მხოლოდ პლანეტას არ ეხება — ეს ადამიანებზეა. ყოველი შენაძენი ეხმარება ჩვენი ბებიების ყოფას, აძლევს მათ დამატებით შემოსავალსა და ცხოვრების ხალისს. ",,,taxable,,1,3,,0,0,,,,,0,,,,"ქუდები > პომპონიანი ქუდები","ბებიას, ნაქსოვი ქუდი, პომპონიანი ქუდი, ქუდი, ყავისფერი ქუდი, შალის ქუდი",,"https://bebias.ge/wp-content/uploads/ყავისფერი-ქუდი-პომპონით.jpg, https://bebias.ge/wp-content/uploads/IMG_5180-1.jpg, https://bebias.ge/wp-content/uploads/შეფუთვა.png",,,,,,,,,0,ბებიას,ზომა,"L, M, S, XS",1,0,ფერი,ყავისფერი,1,1,სარჩული,"შუბლის გარშემო",0,1,მატერია,"თუშური შალი",1,1
2287,variation,"ყავისფერი ქუდი პომპონით L",,"ყავისფერი ქუდი პომპონით - L",1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,,54,,,,,,,"ყავისფერი ქუდი პომპონით",,,,,,4,,ზომა,L,,0,,,,,,,,,,,,
2288,variation,"ყავისფერი ქუდი პომპონით M",,"ყავისფერი ქუდი პომპონით - M",1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,0,,,54,,,,,,,"ყავისფერი ქუდი პომპონით",,,,,,3,,ზომა,M,,0,,,,,,,,,,,,
2289,variation,"ყავისფერი ქუდი პომპონით S",,"ყავისფერი ქუდი პომპონით - S",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,54,,,,,,,"ყავისფერი ქუდი პომპონით",,,,,,2,,ზომა,S,,0,,,,,,,,,,,,
2290,variation,"ყავისფერი ქუდი პომპონით XS",,"ყავისფერი ქუდი პომპონით - XS",1,0,visible,,,,,taxable,parent,0,0,,0,0,,,,,0,,,54,,,,,,,"ყავისფერი ქუდი პომპონით",,,,,,1,,ზომა,XS,,0,,,,,,,,,,,,
2293,variable,"ყავისფერი სადა ქუდი",,"ყავისფერი სადა ქუდი",1,0,visible,"• ქსოვილი: 100% ნატურალური თუშური შალი\n• სარჩული: 100% ბამბით ნაქსოვი, შუბლის გარშემო\n• ნამდვილი ბებიების ხელით მოქსოვილი\n• დამზადებულია საქართველოში\n• შეფუთვა: ბრენდირებული კრაფტის ქაღალდი და კრაფტის ჩანთა","ზომის დასადგენად იხელმძღვანელეთ ქვემოთ მოცემული ცხრილით:\n\n\n\n<table width=""375"">\n\n\n\n<tbody>\n\n\n\n<tr>\n\n\n\n<td width=""64"">ზომა</td>\n\n\n\n<td width=""210"">თავის გარშემოწერილობა</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> L</td>\n\n\n\n<td width=""210"">62-65 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> M</td>\n\n\n\n<td width=""210"">58-61 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64""> S</td>\n\n\n\n<td width=""210"">54-57 სმ</td>\n\n\n\n</tr>\n\n\n\n<tr>\n\n\n\n<td width=""64"">XS</td>\n\n\n\n<td width=""210"">50-53 სმ</td>\n\n\n\n</tr>\n\n\n\n</tbody>\n\n\n\n</table>\n\n\n\n✓ შეძენამდე გაეცანით <a href=""https://bebias.ge/payment-and-delivery/"">მიწოდების პირობებსა და ტარიფებს.</a>\n\n\n\n\n\n\n\n✓ რეცხვის ინსტრუქცია იხილეთ <a href=""https://bebias.ge/faq/"">ხშირად დასმულ კითხვებში.</a>\n\n\n&nbsp;\n\n<strong>ტრადიციით შექმნილი, სიყვარულით შესრულებული</strong>\n\n“ბებიას” ყოველი ნახელავი სითბოს, ოსტატობისა და სოციალური გავლენის ისტორიას ყვება. ქართული, ბებიების მიერ ხელით ნაქსოვი თითოეული პროდუქტი უნიკალურია და გამოხატავს თაობიდან თაობაზე გადაცემულ უნარებს. ჩვენი პროდუქტები მხოლოდ აქსესუარები არაა — ეს სიმბოლოებია სიყვარულის, ზრუნვისა და მდგრადობის.\n\n<strong>100% ნატურალური მასალები, 100% დაცვა და კომფორტი</strong>\n\nჩვენი ნახელავები დამზადებულია 100% ნატურალური და ორგანული სუფთა, შეურეველი მასალებისგან, რაც უზრუნველყოფს არაჩვეულებრივ კომფორტს, სირბილეს და სკალპის სუნთქვადობას. ვიყენებთ ქართულ ნატურალურ თბილ შალს თუშეთის მთებიდან, ასევე პრემიუმ ხარისხის ნატურალურ რბილ შალს და ნატურალურ ანტიალერგიულ ბამბას, რათა თითოეული ნივთი იყოს ეკო-მეგობრული, რბილი და იდეალური ყველა სეზონისთვის, ყინვასა თუ ნაკლებად ცივ ამინდში.\n\n<strong>მდგრადობა და სოციალური გავლენა</strong>\n\nროდესაც „ბებიას“ პროდუქტებს ყიდულობთ, მხარს უჭერთ უფრო მდგრად მომავალს. ჩვენი 100% ნატურალური მასალები ეთიკურად არის მოპოვებული და ჩვენი წარმოების პროცესი პრიორიტეტს ანიჭებს გარემოს დაცვას. ბუნებრივი ნახელავების ფერები მიღებულია მცენარეებიდან, ხელით ღებვის ოსტატობით. თუმცა ეს ყველაფერი მხოლოდ პლანეტას არ ეხება — ეს ადამიანებზეა. ყოველი შენაძენი ეხმარება ჩვენი ბებიების ყოფას, აძლევს მათ დამატებით შემოსავალსა და ცხოვრების ხალისს. ",,,taxable,,1,6,,0,0,,,,,0,,,,"ქუდები > სადა ქუდები","ბებიას, ნაქსოვი ქუდი, სადა ქუდი, ქუდი, ყავისფერი ქუდი, შალის ქუდი",,"https://bebias.ge/wp-content/uploads/ყავისფერი-ქუდი.jpg, https://bebias.ge/wp-content/uploads/IMG_5189-1-e1737139036529.jpg, https://bebias.ge/wp-content/uploads/შეფუთვა.png",,,,,,,,,0,ბებიას,ზომა,"L, M, S, XS",1,0,ფერი,ყავისფერი,1,1,სარჩული,"შუბლის გარშემო",0,1,მატერია,"თუშური შალი",1,1
